# x_m, y_m, w_tr_right_m, w_tr_left_m
4.15010e+01,7.56252e+01,1.10000e+00,1.10000e+00
4.18973e+01,7.47216e+01,1.10000e+00,1.10000e+00
4.22446e+01,7.38002e+01,1.10000e+00,1.10000e+00
4.25421e+01,7.28622e+01,1.10000e+00,1.10000e+00
4.27898e+01,7.19086e+01,1.10000e+00,1.10000e+00
4.29877e+01,7.09404e+01,1.10000e+00,1.10000e+00
4.31364e+01,6.99586e+01,1.10000e+00,1.10000e+00
4.32367e+01,6.89643e+01,1.10000e+00,1.10000e+00
4.32901e+01,6.79583e+01,1.10000e+00,1.10000e+00
4.32982e+01,6.69417e+01,1.10000e+00,1.10000e+00
4.32631e+01,6.59151e+01,1.10000e+00,1.10000e+00
4.31870e+01,6.48796e+01,1.10000e+00,1.10000e+00
4.30727e+01,6.38358e+01,1.10000e+00,1.10000e+00
4.29229e+01,6.27845e+01,1.10000e+00,1.10000e+00
4.27407e+01,6.17264e+01,1.10000e+00,1.10000e+00
4.25292e+01,6.06621e+01,1.10000e+00,1.10000e+00
4.22917e+01,5.95925e+01,1.10000e+00,1.10000e+00
4.20316e+01,5.85179e+01,1.10000e+00,1.10000e+00
4.17523e+01,5.74391e+01,1.10000e+00,1.10000e+00
4.14572e+01,5.63565e+01,1.10000e+00,1.10000e+00
4.11496e+01,5.52707e+01,1.10000e+00,1.10000e+00
4.08329e+01,5.41822e+01,1.10000e+00,1.10000e+00
4.05101e+01,5.30915e+01,1.10000e+00,1.10000e+00
4.01844e+01,5.19989e+01,1.10000e+00,1.10000e+00
3.98586e+01,5.09049e+01,1.10000e+00,1.10000e+00
3.95352e+01,4.98099e+01,1.10000e+00,1.10000e+00
3.92165e+01,4.87143e+01,1.10000e+00,1.10000e+00
3.89048e+01,4.76183e+01,1.10000e+00,1.10000e+00
3.86016e+01,4.65224e+01,1.10000e+00,1.10000e+00
3.83083e+01,4.54267e+01,1.10000e+00,1.10000e+00
3.80259e+01,4.43317e+01,1.10000e+00,1.10000e+00
3.77552e+01,4.32375e+01,1.10000e+00,1.10000e+00
3.74964e+01,4.21444e+01,1.10000e+00,1.10000e+00
3.72498e+01,4.10528e+01,1.10000e+00,1.10000e+00
3.70151e+01,3.99628e+01,1.10000e+00,1.10000e+00
3.67919e+01,3.88746e+01,1.10000e+00,1.10000e+00
3.65796e+01,3.77886e+01,1.10000e+00,1.10000e+00
3.63772e+01,3.67050e+01,1.10000e+00,1.10000e+00
3.61838e+01,3.56240e+01,1.10000e+00,1.10000e+00
3.59979e+01,3.45459e+01,1.10000e+00,1.10000e+00
3.58181e+01,3.34709e+01,1.10000e+00,1.10000e+00
3.56429e+01,3.23994e+01,1.10000e+00,1.10000e+00
3.54704e+01,3.13317e+01,1.10000e+00,1.10000e+00
3.52989e+01,3.02680e+01,1.10000e+00,1.10000e+00
3.51262e+01,2.92088e+01,1.10000e+00,1.10000e+00
3.49503e+01,2.81543e+01,1.10000e+00,1.10000e+00
3.47690e+01,2.71051e+01,1.10000e+00,1.10000e+00
3.45802e+01,2.60614e+01,1.10000e+00,1.10000e+00
3.43816e+01,2.50239e+01,1.10000e+00,1.10000e+00
3.41708e+01,2.39929e+01,1.10000e+00,1.10000e+00
3.39457e+01,2.29690e+01,1.10000e+00,1.10000e+00
3.37038e+01,2.19528e+01,1.10000e+00,1.10000e+00
3.34429e+01,2.09449e+01,1.10000e+00,1.10000e+00
3.31608e+01,1.99460e+01,1.10000e+00,1.10000e+00
3.28554e+01,1.89568e+01,1.10000e+00,1.10000e+00
3.25244e+01,1.79780e+01,1.10000e+00,1.10000e+00
3.21659e+01,1.70106e+01,1.10000e+00,1.10000e+00
3.17780e+01,1.60552e+01,1.10000e+00,1.10000e+00
3.13588e+01,1.51130e+01,1.10000e+00,1.10000e+00
3.09067e+01,1.41849e+01,1.10000e+00,1.10000e+00
3.04203e+01,1.32720e+01,1.10000e+00,1.10000e+00
2.98981e+01,1.23754e+01,1.10000e+00,1.10000e+00
2.93390e+01,1.14964e+01,1.10000e+00,1.10000e+00
2.87421e+01,1.06362e+01,1.10000e+00,1.10000e+00
2.81066e+01,9.79610e+00,1.10000e+00,1.10000e+00
2.74321e+01,8.97768e+00,1.10000e+00,1.10000e+00
2.67182e+01,8.18241e+00,1.10000e+00,1.10000e+00
2.59650e+01,7.41190e+00,1.10000e+00,1.10000e+00
2.51728e+01,6.66786e+00,1.10000e+00,1.10000e+00
2.43423e+01,5.95206e+00,1.10000e+00,1.10000e+00
2.34742e+01,5.26640e+00,1.10000e+00,1.10000e+00
2.25699e+01,4.61284e+00,1.10000e+00,1.10000e+00
2.16311e+01,3.99348e+00,1.10000e+00,1.10000e+00
2.06595e+01,3.41048e+00,1.10000e+00,1.10000e+00
1.96577e+01,2.86614e+00,1.10000e+00,1.10000e+00
1.86282e+01,2.36285e+00,1.10000e+00,1.10000e+00
1.75743e+01,1.90307e+00,1.10000e+00,1.10000e+00
1.64995e+01,1.48936e+00,1.10000e+00,1.10000e+00
1.54074e+01,1.12427e+00,1.10000e+00,1.10000e+00
1.43022e+01,8.10340e-01,1.10000e+00,1.10000e+00
1.31880e+01,5.50060e-01,1.10000e+00,1.10000e+00
1.20693e+01,3.45820e-01,1.10000e+00,1.10000e+00
1.09505e+01,1.99890e-01,1.10000e+00,1.10000e+00
9.83617e+00,1.14350e-01,1.10000e+00,1.10000e+00
8.73098e+00,9.11200e-02,1.10000e+00,1.10000e+00
7.63947e+00,1.31820e-01,1.10000e+00,1.10000e+00
6.56615e+00,2.37840e-01,1.10000e+00,1.10000e+00
5.51540e+00,4.10230e-01,1.10000e+00,1.10000e+00
4.49144e+00,6.49690e-01,1.10000e+00,1.10000e+00
3.49829e+00,9.56520e-01,1.10000e+00,1.10000e+00
2.53972e+00,1.33060e+00,1.10000e+00,1.10000e+00
1.61918e+00,1.77134e+00,1.10000e+00,1.10000e+00
7.39800e-01,2.27765e+00,1.10000e+00,1.10000e+00
-9.56900e-02,2.84789e+00,1.10000e+00,1.10000e+00
-8.84990e-01,3.47990e+00,1.10000e+00,1.10000e+00
-1.62617e+00,4.17101e+00,1.10000e+00,1.10000e+00
-2.31771e+00,4.91815e+00,1.10000e+00,1.10000e+00
-2.95847e+00,5.71784e+00,1.10000e+00,1.10000e+00
-3.54765e+00,6.56635e+00,1.10000e+00,1.10000e+00
-4.08482e+00,7.45966e+00,1.10000e+00,1.10000e+00
-4.56983e+00,8.39358e+00,1.10000e+00,1.10000e+00
-5.00290e+00,9.36382e+00,1.10000e+00,1.10000e+00
-5.38452e+00,1.03660e+01,1.10000e+00,1.10000e+00
-5.71544e+00,1.13958e+01,1.10000e+00,1.10000e+00
-5.99672e+00,1.24488e+01,1.10000e+00,1.10000e+00
-6.22964e+00,1.35209e+01,1.10000e+00,1.10000e+00
-6.41574e+00,1.46081e+01,1.10000e+00,1.10000e+00
-6.55675e+00,1.57066e+01,1.10000e+00,1.10000e+00
-6.65465e+00,1.68131e+01,1.10000e+00,1.10000e+00
-6.71156e+00,1.79243e+01,1.10000e+00,1.10000e+00
-6.72982e+00,1.90377e+01,1.10000e+00,1.10000e+00
-6.71190e+00,2.01510e+01,1.10000e+00,1.10000e+00
-6.66043e+00,2.12626e+01,1.10000e+00,1.10000e+00
-6.57817e+00,2.23711e+01,1.10000e+00,1.10000e+00
-6.46800e+00,2.34755e+01,1.10000e+00,1.10000e+00
-6.33289e+00,2.45754e+01,1.10000e+00,1.10000e+00
-6.17593e+00,2.56703e+01,1.10000e+00,1.10000e+00
-6.00024e+00,2.67603e+01,1.10000e+00,1.10000e+00
-5.80905e+00,2.78455e+01,1.10000e+00,1.10000e+00
-5.60559e+00,2.89264e+01,1.10000e+00,1.10000e+00
-5.39316e+00,3.00034e+01,1.10000e+00,1.10000e+00
-5.17507e+00,3.10774e+01,1.10000e+00,1.10000e+00
-4.95462e+00,3.21489e+01,1.10000e+00,1.10000e+00
-4.73512e+00,3.32188e+01,1.10000e+00,1.10000e+00
-4.51983e+00,3.42879e+01,1.10000e+00,1.10000e+00
-4.31200e+00,3.53569e+01,1.10000e+00,1.10000e+00
-4.11482e+00,3.64266e+01,1.10000e+00,1.10000e+00
-3.93140e+00,3.74975e+01,1.10000e+00,1.10000e+00
-3.76479e+00,3.85700e+01,1.10000e+00,1.10000e+00
-3.61793e+00,3.96444e+01,1.10000e+00,1.10000e+00
-3.49366e+00,4.07208e+01,1.10000e+00,1.10000e+00
-3.39470e+00,4.17989e+01,1.10000e+00,1.10000e+00
-3.32362e+00,4.28783e+01,1.10000e+00,1.10000e+00
-3.28285e+00,4.39580e+01,1.10000e+00,1.10000e+00
-3.27467e+00,4.50369e+01,1.10000e+00,1.10000e+00
-3.30117e+00,4.61137e+01,1.10000e+00,1.10000e+00
-3.36429e+00,4.71867e+01,1.10000e+00,1.10000e+00
-3.46580e+00,4.82539e+01,1.10000e+00,1.10000e+00
-3.60727e+00,4.93134e+01,1.10000e+00,1.10000e+00
-3.79009e+00,5.03629e+01,1.10000e+00,1.10000e+00
-4.01546e+00,5.14003e+01,1.10000e+00,1.10000e+00
-4.28439e+00,5.24231e+01,1.10000e+00,1.10000e+00
-4.59766e+00,5.34290e+01,1.10000e+00,1.10000e+00
-4.95588e+00,5.44157e+01,1.10000e+00,1.10000e+00
-5.35940e+00,5.53809e+01,1.10000e+00,1.10000e+00
-5.80839e+00,5.63223e+01,1.10000e+00,1.10000e+00
-6.30276e+00,5.72379e+01,1.10000e+00,1.10000e+00
-6.84222e+00,5.81257e+01,1.10000e+00,1.10000e+00
-7.42622e+00,5.89840e+01,1.10000e+00,1.10000e+00
-8.05397e+00,5.98112e+01,1.10000e+00,1.10000e+00
-8.72443e+00,6.06062e+01,1.10000e+00,1.10000e+00
-9.43633e+00,6.13678e+01,1.10000e+00,1.10000e+00
-1.01881e+01,6.20956e+01,1.10000e+00,1.10000e+00
-1.09780e+01,6.27892e+01,1.10000e+00,1.10000e+00
-1.18041e+01,6.34486e+01,1.10000e+00,1.10000e+00
-1.26641e+01,6.40739e+01,1.10000e+00,1.10000e+00
-1.35558e+01,6.46657e+01,1.10000e+00,1.10000e+00
-1.44768e+01,6.52246e+01,1.10000e+00,1.10000e+00
-1.54246e+01,6.57516e+01,1.10000e+00,1.10000e+00
-1.63966e+01,6.62476e+01,1.10000e+00,1.10000e+00
-1.73901e+01,6.67140e+01,1.10000e+00,1.10000e+00
-1.84027e+01,6.71520e+01,1.10000e+00,1.10000e+00
-1.94316e+01,6.75631e+01,1.10000e+00,1.10000e+00
-2.04744e+01,6.79487e+01,1.10000e+00,1.10000e+00
-2.15285e+01,6.83105e+01,1.10000e+00,1.10000e+00
-2.25916e+01,6.86501e+01,1.10000e+00,1.10000e+00
-2.36615e+01,6.89691e+01,1.10000e+00,1.10000e+00
-2.47360e+01,6.92690e+01,1.10000e+00,1.10000e+00
-2.58133e+01,6.95515e+01,1.10000e+00,1.10000e+00
-2.68917e+01,6.98181e+01,1.10000e+00,1.10000e+00
-2.79697e+01,7.00702e+01,1.10000e+00,1.10000e+00
-2.90462e+01,7.03091e+01,1.10000e+00,1.10000e+00
-3.01204e+01,7.05359e+01,1.10000e+00,1.10000e+00
-3.11915e+01,7.07519e+01,1.10000e+00,1.10000e+00
-3.22595e+01,7.09578e+01,1.10000e+00,1.10000e+00
-3.33243e+01,7.11546e+01,1.10000e+00,1.10000e+00
