# x_m, y_m, w_tr_right_m, w_tr_left_m
-4.25624e+02,-5.16943e+02,1.10000e+00,1.10000e+00
-4.25208e+02,-5.21276e+02,1.10000e+00,1.10000e+00
-4.24456e+02,-5.25593e+02,1.10000e+00,1.10000e+00
-4.23380e+02,-5.29859e+02,1.10000e+00,1.10000e+00
-4.21990e+02,-5.34040e+02,1.10000e+00,1.10000e+00
-4.20298e+02,-5.38101e+02,1.10000e+00,1.10000e+00
-4.18315e+02,-5.42006e+02,1.10000e+00,1.10000e+00
-4.16053e+02,-5.45721e+02,1.10000e+00,1.10000e+00
-4.13523e+02,-5.49212e+02,1.10000e+00,1.10000e+00
-4.10746e+02,-5.52477e+02,1.10000e+00,1.10000e+00
-4.07748e+02,-5.55531e+02,1.10000e+00,1.10000e+00
-4.04555e+02,-5.58392e+02,1.10000e+00,1.10000e+00
-4.01193e+02,-5.61077e+02,1.10000e+00,1.10000e+00
-3.97689e+02,-5.63601e+02,1.10000e+00,1.10000e+00
-3.94068e+02,-5.65984e+02,1.10000e+00,1.10000e+00
-3.90358e+02,-5.68240e+02,1.10000e+00,1.10000e+00
-3.86582e+02,-5.70389e+02,1.10000e+00,1.10000e+00
-3.82759e+02,-5.72447e+02,1.10000e+00,1.10000e+00
-3.78898e+02,-5.74435e+02,1.10000e+00,1.10000e+00
-3.75010e+02,-5.76372e+02,1.10000e+00,1.10000e+00
-3.71106e+02,-5.78279e+02,1.10000e+00,1.10000e+00
-3.67197e+02,-5.80175e+02,1.10000e+00,1.10000e+00
-3.63292e+02,-5.82079e+02,1.10000e+00,1.10000e+00
-3.59403e+02,-5.84012e+02,1.10000e+00,1.10000e+00
-3.55539e+02,-5.85991e+02,1.10000e+00,1.10000e+00
-3.51699e+02,-5.88011e+02,1.10000e+00,1.10000e+00
-3.47874e+02,-5.90053e+02,1.10000e+00,1.10000e+00
-3.44056e+02,-5.92096e+02,1.10000e+00,1.10000e+00
-3.40239e+02,-5.94126e+02,1.10000e+00,1.10000e+00
-3.36452e+02,-5.96192e+02,1.10000e+00,1.10000e+00
-3.32743e+02,-5.98388e+02,1.10000e+00,1.10000e+00
-3.29165e+02,-6.00808e+02,1.10000e+00,1.10000e+00
-3.25772e+02,-6.03541e+02,1.10000e+00,1.10000e+00
-3.22657e+02,-6.06611e+02,1.10000e+00,1.10000e+00
-3.19937e+02,-6.10000e+02,1.10000e+00,1.10000e+00
-3.17732e+02,-6.13689e+02,1.10000e+00,1.10000e+00
-3.16160e+02,-6.17657e+02,1.10000e+00,1.10000e+00
-3.15278e+02,-6.21859e+02,1.10000e+00,1.10000e+00
-3.15032e+02,-6.26195e+02,1.10000e+00,1.10000e+00
-3.15357e+02,-6.30562e+02,1.10000e+00,1.10000e+00
-3.16189e+02,-6.34856e+02,1.10000e+00,1.10000e+00
-3.17478e+02,-6.38998e+02,1.10000e+00,1.10000e+00
-3.19205e+02,-6.42947e+02,1.10000e+00,1.10000e+00
-3.21352e+02,-6.46666e+02,1.10000e+00,1.10000e+00
-3.23903e+02,-6.50121e+02,1.10000e+00,1.10000e+00
-3.26822e+02,-6.53291e+02,1.10000e+00,1.10000e+00
-3.30045e+02,-6.56188e+02,1.10000e+00,1.10000e+00
-3.33503e+02,-6.58826e+02,1.10000e+00,1.10000e+00
-3.37127e+02,-6.61220e+02,1.10000e+00,1.10000e+00
-3.40862e+02,-6.63401e+02,1.10000e+00,1.10000e+00
-3.44673e+02,-6.65437e+02,1.10000e+00,1.10000e+00
-3.48528e+02,-6.67395e+02,1.10000e+00,1.10000e+00
-3.52394e+02,-6.69344e+02,1.10000e+00,1.10000e+00
-3.56252e+02,-6.71325e+02,1.10000e+00,1.10000e+00
-3.60104e+02,-6.73328e+02,1.10000e+00,1.10000e+00
-3.63954e+02,-6.75339e+02,1.10000e+00,1.10000e+00
-3.67806e+02,-6.77344e+02,1.10000e+00,1.10000e+00
-3.71663e+02,-6.79335e+02,1.10000e+00,1.10000e+00
-3.75524e+02,-6.81316e+02,1.10000e+00,1.10000e+00
-3.79387e+02,-6.83289e+02,1.10000e+00,1.10000e+00
-3.83251e+02,-6.85258e+02,1.10000e+00,1.10000e+00
-3.87114e+02,-6.87227e+02,1.10000e+00,1.10000e+00
-3.90975e+02,-6.89200e+02,1.10000e+00,1.10000e+00
-3.94832e+02,-6.91179e+02,1.10000e+00,1.10000e+00
-3.98685e+02,-6.93170e+02,1.10000e+00,1.10000e+00
-4.02532e+02,-6.95173e+02,1.10000e+00,1.10000e+00
-4.06372e+02,-6.97191e+02,1.10000e+00,1.10000e+00
-4.10205e+02,-6.99225e+02,1.10000e+00,1.10000e+00
-4.14029e+02,-7.01275e+02,1.10000e+00,1.10000e+00
-4.17843e+02,-7.03343e+02,1.10000e+00,1.10000e+00
-4.21647e+02,-7.05429e+02,1.10000e+00,1.10000e+00
-4.25440e+02,-7.07536e+02,1.10000e+00,1.10000e+00
-4.29221e+02,-7.09663e+02,1.10000e+00,1.10000e+00
-4.32989e+02,-7.11813e+02,1.10000e+00,1.10000e+00
-4.36744e+02,-7.13985e+02,1.10000e+00,1.10000e+00
-4.40484e+02,-7.16182e+02,1.10000e+00,1.10000e+00
-4.44208e+02,-7.18403e+02,1.10000e+00,1.10000e+00
-4.47916e+02,-7.20651e+02,1.10000e+00,1.10000e+00
-4.51607e+02,-7.22926e+02,1.10000e+00,1.10000e+00
-4.55281e+02,-7.25230e+02,1.10000e+00,1.10000e+00
-4.58935e+02,-7.27563e+02,1.10000e+00,1.10000e+00
-4.62570e+02,-7.29925e+02,1.10000e+00,1.10000e+00
-4.66186e+02,-7.32317e+02,1.10000e+00,1.10000e+00
-4.69783e+02,-7.34738e+02,1.10000e+00,1.10000e+00
-4.73361e+02,-7.37187e+02,1.10000e+00,1.10000e+00
-4.76921e+02,-7.39663e+02,1.10000e+00,1.10000e+00
-4.80463e+02,-7.42166e+02,1.10000e+00,1.10000e+00
-4.83987e+02,-7.44694e+02,1.10000e+00,1.10000e+00
-4.87492e+02,-7.47249e+02,1.10000e+00,1.10000e+00
-4.90981e+02,-7.49828e+02,1.10000e+00,1.10000e+00
-4.94451e+02,-7.52431e+02,1.10000e+00,1.10000e+00
-4.97905e+02,-7.55058e+02,1.10000e+00,1.10000e+00
-5.01342e+02,-7.57707e+02,1.10000e+00,1.10000e+00
-5.04761e+02,-7.60379e+02,1.10000e+00,1.10000e+00
-5.08165e+02,-7.63072e+02,1.10000e+00,1.10000e+00
-5.11552e+02,-7.65786e+02,1.10000e+00,1.10000e+00
-5.14923e+02,-7.68520e+02,1.10000e+00,1.10000e+00
-5.18277e+02,-7.71275e+02,1.10000e+00,1.10000e+00
-5.21614e+02,-7.74051e+02,1.10000e+00,1.10000e+00
-5.24930e+02,-7.76850e+02,1.10000e+00,1.10000e+00
-5.28226e+02,-7.79672e+02,1.10000e+00,1.10000e+00
-5.31499e+02,-7.82520e+02,1.10000e+00,1.10000e+00
-5.34748e+02,-7.85393e+02,1.10000e+00,1.10000e+00
-5.37972e+02,-7.88294e+02,1.10000e+00,1.10000e+00
-5.41168e+02,-7.91223e+02,1.10000e+00,1.10000e+00
-5.44336e+02,-7.94183e+02,1.10000e+00,1.10000e+00
-5.47473e+02,-7.97173e+02,1.10000e+00,1.10000e+00
-5.50579e+02,-8.00195e+02,1.10000e+00,1.10000e+00
-5.53651e+02,-8.03250e+02,1.10000e+00,1.10000e+00
-5.56688e+02,-8.06340e+02,1.10000e+00,1.10000e+00
-5.59690e+02,-8.09465e+02,1.10000e+00,1.10000e+00
-5.62653e+02,-8.12627e+02,1.10000e+00,1.10000e+00
-5.65577e+02,-8.15828e+02,1.10000e+00,1.10000e+00
-5.68461e+02,-8.19066e+02,1.10000e+00,1.10000e+00
-5.71310e+02,-8.22338e+02,1.10000e+00,1.10000e+00
-5.74129e+02,-8.25638e+02,1.10000e+00,1.10000e+00
-5.76925e+02,-8.28960e+02,1.10000e+00,1.10000e+00
-5.79704e+02,-8.32298e+02,1.10000e+00,1.10000e+00
-5.82472e+02,-8.35645e+02,1.10000e+00,1.10000e+00
-5.85234e+02,-8.38997e+02,1.10000e+00,1.10000e+00
-5.87997e+02,-8.42348e+02,1.10000e+00,1.10000e+00
-5.90766e+02,-8.45692e+02,1.10000e+00,1.10000e+00
